"Localidades";"Períodos";"Frota Total de Veículos ";"Número de Habitantes por Total de Veículos ";"Frota de Automóveis ";"Número de Habitantes por Automóvel ";"Frota de Ônibus ";"Frota de Caminhões ";"Frota de Reboques ";"Frota de Motocicletas e Assemelhados ";"Frota de Microônibus e Camionetas ";"Frota de Veículos de Outro Tipo ";"Cód. IBGE"
"Adamantina";"2013";"22969";"1,47";"12960";"2,61";"73";"919";"942";"5608";"2459";"8";3500105
"Adamantina";"2014";"23966";"1,41";"13349";"2,54";"75";"980";"1026";"5845";"2683";"8";3500105
"Adamantina";"2015";"24839";"1,36";"13725";"2,47";"73";"1000";"1070";"6104";"2859";"8";3500105
"Adamantina";"2016";"25516";"1,33";"14044";"2,41";"73";"1005";"1104";"6293";"2989";"8";3500105
"Adamantina";"2017";"26168";"1,29";"14404";"2,35";"76";"1019";"1155";"6383";"3123";"8";3500105
"Adolfo";"2013";"1826";"1,93";"1069";"3,3";"27";"99";"121";"331";"178";"1";3500204
"Adolfo";"2014";"1961";"1,79";"1128";"3,11";"28";"110";"161";"336";"197";"1";3500204
"Adolfo";"2015";"2074";"1,69";"1207";"2,9";"26";"102";"173";"351";"214";"1";3500204
"Adolfo";"2016";"2196";"1,59";"1287";"2,71";"27";"99";"171";"368";"243";"1";3500204
"Adolfo";"2017";"2307";"1,51";"1333";"2,61";"27";"102";"191";"395";"258";"1";3500204
"Aguaí";"2013";"16944";"1,96";"8950";"3,71";"162";"998";"342";"4735";"1752";"5";3500303
"Aguaí";"2014";"17911";"1,87";"9488";"3,54";"170";"1025";"339";"4990";"1893";"6";3500303
"Aguaí";"2015";"18703";"1,81";"9898";"3,43";"183";"1048";"366";"5205";"1997";"6";3500303
"Aguaí";"2016";"19453";"1,76";"10315";"3,32";"189";"1073";"392";"5382";"2096";"6";3500303
"Aguaí";"2017";"20189";"1,71";"10640";"3,25";"198";"1114";"431";"5534";"2266";"6";3500303
"Águas da Prata";"2013";"3863";"1,98";"2384";"3,21";"12";"114";"31";"808";"513";"1";3500402
"Águas da Prata";"2014";"4053";"1,89";"2495";"3,08";"13";"126";"34";"839";"544";"2";3500402
"Águas da Prata";"2015";"4212";"1,83";"2593";"2,97";"13";"126";"39";"870";"569";"2";3500402
"Águas da Prata";"2016";"4359";"1,77";"2690";"2,87";"13";"131";"46";"884";"593";"2";3500402
"Águas da Prata";"2017";"4492";"1,72";"2750";"2,81";"14";"136";"51";"911";"628";"2";3500402
"Águas de Lindóia";"2013";"10579";"1,66";"6043";"2,91";"64";"200";"95";"3042";"1134";"1";3500501
"Águas de Lindóia";"2014";"11204";"1,58";"6393";"2,77";"73";"203";"99";"3234";"1201";"1";3500501
"Águas de Lindóia";"2015";"11794";"1,51";"6720";"2,66";"72";"209";"111";"3369";"1312";"1";3500501
"Águas de Lindóia";"2016";"12244";"1,47";"6975";"2,57";"78";"214";"116";"3469";"1390";"2";3500501
"Águas de Lindóia";"2017";"12671";"1,43";"7251";"2,49";"98";"209";"123";"3539";"1449";"2";3500501
"Águas de Santa Bárbara";"2013";"3128";"1,82";"1996";"2,86";"26";"131";"99";"455";"419";"2";3500550
"Águas de Santa Bárbara";"2014";"3321";"1,73";"2092";"2,74";"33";"145";"111";"482";"456";"2";3500550
"Águas de Santa Bárbara";"2015";"3507";"1,64";"2203";"2,62";"33";"149";"133";"510";"477";"2";3500550
"Águas de Santa Bárbara";"2016";"3649";"1,59";"2282";"2,54";"35";"150";"151";"535";"494";"2";3500550
"Águas de Santa Bárbara";"2017";"3832";"1,52";"2367";"2,46";"32";"169";"169";"565";"528";"2";3500550
"Águas de São Pedro";"2013";"2192";"1,29";"1471";"1,93";"4";"45";"73";"281";"314";"4";3500600
"Águas de São Pedro";"2014";"2317";"1,24";"1550";"1,86";"5";"48";"82";"285";"343";"4";3500600
"Águas de São Pedro";"2015";"2403";"1,22";"1608";"1,82";"5";"44";"87";"306";"348";"5";3500600
"Águas de São Pedro";"2016";"2491";"1,19";"1630";"1,82";"6";"44";"88";"331";"387";"5";3500600
"Águas de São Pedro";"2017";"2554";"1,18";"1684";"1,78";"6";"44";"91";"323";"401";"5";3500600
"Agudos";"2013";"16820";"2,08";"10047";"3,49";"96";"701";"409";"3979";"1575";"13";3500709
"Agudos";"2014";"17921";"1,96";"10712";"3,29";"100";"717";"431";"4211";"1737";"13";3500709
"Agudos";"2015";"18770";"1,88";"11153";"3,17";"102";"741";"463";"4421";"1877";"13";3500709
"Agudos";"2016";"19526";"1,82";"11619";"3,06";"104";"744";"498";"4542";"2006";"13";3500709
"Agudos";"2017";"20274";"1,76";"12091";"2,95";"104";"755";"531";"4633";"2147";"13";3500709
"Alambari";"2013";"1773";"2,9";"893";"5,76";"6";"106";"30";"526";"210";"2";3500758
"Alambari";"2014";"1939";"2,7";"984";"5,33";"6";"108";"31";"576";"231";"3";3500758
"Alambari";"2015";"2060";"2,59";"1044";"5,12";"8";"106";"44";"602";"252";"4";3500758
"Alambari";"2016";"2150";"2,52";"1097";"4,95";"8";"100";"43";"625";"273";"4";3500758
"Alambari";"2017";"2299";"2,4";"1186";"4,65";"8";"101";"43";"671";"286";"4";3500758
"Alfredo Marcondes";"2013";"1876";"2,08";"1105";"3,53";"7";"79";"48";"352";"285";"-";3500808
"Alfredo Marcondes";"2014";"2039";"1,92";"1196";"3,27";"7";"84";"72";"372";"308";"-";3500808
"Alfredo Marcondes";"2015";"2169";"1,81";"1280";"3,06";"8";"82";"82";"393";"324";"-";3500808
