"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Adamantina";"2012";"9045";"636";"1772";"280";"2478";"3879";"7,03";"19,59";"3,1";"27,4";"42,89";3500105
"Adamantina";"2013";"8936";"631";"1507";"284";"2631";"3883";"7,06";"16,86";"3,18";"29,44";"43,45";3500105
"Adamantina";"2014";"9312";"733";"1718";"247";"2572";"4042";"7,87";"18,45";"2,65";"27,62";"43,41";3500105
"Adamantina";"2015";"9477";"699";"1719";"265";"2657";"4137";"7,38";"18,14";"2,8";"28,04";"43,65";3500105
"Adamantina";"2016";"9716";"730";"1718";"307";"2802";"4159";"7,51";"17,68";"3,16";"28,84";"42,81";3500105
"Adolfo";"2012";"777";"400";"34";"x";"49";"294";"51,48";"4,38";"-";"6,31";"37,84";3500204
"Adolfo";"2013";"816";"406";"37";"-";"64";"309";"49,75";"4,53";"-";"7,84";"37,87";3500204
"Adolfo";"2014";"870";"389";"38";"2";"61";"380";"44,71";"4,37";"0,23";"7,01";"43,68";3500204
"Adolfo";"2015";"815";"356";"35";"4";"72";"348";"43,68";"4,29";"0,49";"8,83";"42,7";3500204
"Adolfo";"2016";"835";"356";"38";"6";"85";"350";"42,63";"4,55";"0,72";"10,18";"41,92";3500204
"Aguaí";"2012";"6107";"1286";"1586";"74";"1319";"1842";"21,06";"25,97";"1,21";"21,6";"30,16";3500303
"Aguaí";"2013";"6289";"1236";"1826";"106";"1299";"1822";"19,65";"29,03";"1,69";"20,66";"28,97";3500303
"Aguaí";"2014";"6612";"1277";"1930";"148";"1280";"1977";"19,31";"29,19";"2,24";"19,36";"29,9";3500303
"Aguaí";"2015";"7726";"2177";"1962";"221";"1353";"2013";"28,18";"25,39";"2,86";"17,51";"26,05";3500303
"Aguaí";"2016";"6576";"1299";"1958";"110";"1288";"1921";"19,75";"29,77";"1,67";"19,59";"29,21";3500303
"Águas da Prata";"2012";"948";"321";"123";"53";"93";"358";"33,86";"12,97";"5,59";"9,81";"37,76";3500402
"Águas da Prata";"2013";"956";"271";"164";"53";"100";"368";"28,35";"17,15";"5,54";"10,46";"38,49";3500402
"Águas da Prata";"2014";"959";"233";"177";"54";"90";"405";"24,3";"18,46";"5,63";"9,38";"42,23";3500402
"Águas da Prata";"2015";"995";"210";"184";"39";"120";"442";"21,11";"18,49";"3,92";"12,06";"44,42";3500402
"Águas da Prata";"2016";"962";"197";"189";"28";"130";"418";"20,48";"19,65";"2,91";"13,51";"43,45";3500402
"Águas de Lindóia";"2012";"4718";"65";"852";"54";"902";"2845";"1,38";"18,06";"1,14";"19,12";"60,3";3500501
"Águas de Lindóia";"2013";"4663";"70";"811";"89";"912";"2781";"1,5";"17,39";"1,91";"19,56";"59,64";3500501
"Águas de Lindóia";"2014";"4802";"65";"886";"93";"933";"2825";"1,35";"18,45";"1,94";"19,43";"58,83";3500501
"Águas de Lindóia";"2015";"5019";"71";"867";"141";"994";"2946";"1,41";"17,27";"2,81";"19,8";"58,7";3500501
"Águas de Lindóia";"2016";"4690";"71";"829";"98";"910";"2782";"1,51";"17,68";"2,09";"19,4";"59,32";3500501
"Águas de Santa Bárbara";"2012";"1336";"610";"125";"4";"141";"456";"45,66";"9,36";"0,3";"10,55";"34,13";3500550
"Águas de Santa Bárbara";"2013";"1287";"505";"137";"20";"143";"482";"39,24";"10,64";"1,55";"11,11";"37,45";3500550
"Águas de Santa Bárbara";"2014";"1534";"724";"189";"19";"118";"484";"47,2";"12,32";"1,24";"7,69";"31,55";3500550
"Águas de Santa Bárbara";"2015";"1654";"771";"186";"28";"140";"529";"46,61";"11,25";"1,69";"8,46";"31,98";3500550
"Águas de Santa Bárbara";"2016";"1400";"638";"165";"24";"131";"442";"45,57";"11,79";"1,71";"9,36";"31,57";3500550
"Águas de São Pedro";"2012";"1216";"x";"40";"x";"178";"995";"0,16";"3,29";"0,08";"14,64";"81,83";3500600
"Águas de São Pedro";"2013";"1366";"25";"66";"23";"218";"1034";"1,83";"4,83";"1,68";"15,96";"75,7";3500600
"Águas de São Pedro";"2014";"1462";"9";"90";"26";"254";"1083";"0,62";"6,16";"1,78";"17,37";"74,08";3500600
"Águas de São Pedro";"2015";"1268";"1";"26";"16";"225";"1000";"0,08";"2,05";"1,26";"17,74";"78,86";3500600
"Águas de São Pedro";"2016";"1346";"1";"37";"20";"267";"1021";"0,07";"2,75";"1,49";"19,84";"75,85";3500600
