"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Adamantina";"2013";"68771";"9432";"15338";"2603";"28424";"12973";3500105
"Adamantina";"2014";"70545";"7871";"16178";"2805";"30342";"13350";3500105
"Adamantina";"2015";"69599";"8068";"16012";"2779";"30007";"12732";3500105
"Adamantina";"2016";"70433";"6960";"16808";"2767";"31062";"12836";3500105
"Adamantina";"2017";"72659";"7474";"18228";"2724";"31935";"12299";3500105
"Adolfo";"2013";"10215";"373";"971";"4466";"3050";"1355";3500204
"Adolfo";"2014";"12805";"515";"1095";"6438";"3344";"1413";3500204
"Adolfo";"2015";"9302";"445";"1052";"2946";"3462";"1397";3500204
"Adolfo";"2016";"9998";"104";"1017";"3635";"3847";"1396";3500204
"Adolfo";"2017";"12064";"98";"1041";"5372";"4069";"1483";3500204
"Aguaí";"2013";"83845";"34443";"8048";"11535";"20767";"9052";3500303
"Aguaí";"2014";"85848";"31309";"8979";"15232";"21439";"8887";3500303
"Aguaí";"2015";"83023";"32009";"8443";"12021";"20669";"9882";3500303
"Aguaí";"2016";"81817";"32146";"7788";"11693";"20387";"9803";3500303
"Aguaí";"2017";"84601";"32947";"8112";"12344";"21443";"9754";3500303
"Águas da Prata";"2013";"14130";"1244";"3418";"1971";"5549";"1948";3500402
"Águas da Prata";"2014";"14642";"871";"4074";"2080";"5689";"1929";3500402
"Águas da Prata";"2015";"15892";"1828";"2637";"1869";"5467";"4092";3500402
"Águas da Prata";"2016";"13308";"1850";"2372";"1795";"5396";"1895";3500402
"Águas da Prata";"2017";"13883";"2069";"2478";"1701";"5735";"1901";3500402
"Águas de Lindóia";"2013";"47799";"6171";"16040";"1603";"17276";"6708";3500501
"Águas de Lindóia";"2014";"49331";"5601";"17654";"1713";"17810";"6552";3500501
"Águas de Lindóia";"2015";"47394";"3468";"18662";"1516";"17327";"6422";3500501
"Águas de Lindóia";"2016";"45722";"3017";"17350";"1478";"17401";"6476";3500501
"Águas de Lindóia";"2017";"46828";"4213";"16419";"1573";"17926";"6696";3500501
"Águas de Santa Bárbara";"2013";"15588";"2332";"2168";"3858";"4689";"2541";3500550
"Águas de Santa Bárbara";"2014";"17620";"3208";"2117";"4583";"5142";"2570";3500550
"Águas de Santa Bárbara";"2015";"17430";"3793";"2185";"4105";"5161";"2186";3500550
"Águas de Santa Bárbara";"2016";"17046";"3143";"2262";"4297";"5287";"2058";3500550
"Águas de Santa Bárbara";"2017";"16447";"1822";"2602";"4488";"5371";"2164";3500550
"Águas de São Pedro";"2013";"13382";"35";"6033";"-";"5195";"2119";3500600
"Águas de São Pedro";"2014";"14217";"22";"6307";"-";"5517";"2370";3500600
"Águas de São Pedro";"2015";"14109";"23";"6148";"-";"5617";"2321";3500600
"Águas de São Pedro";"2016";"14508";"9";"6014";"-";"5697";"2788";3500600
"Águas de São Pedro";"2017";"15058";"8";"6388";"-";"5753";"2909";3500600
"Agudos";"2013";"341975";"291179";"8927";"4407";"25803";"11660";3500709
"Agudos";"2014";"324429";"270938";"9792";"4266";"27631";"11802";3500709
"Agudos";"2015";"320348";"267234";"9877";"4077";"27593";"11566";3500709
"Agudos";"2016";"319665";"267392";"9152";"3886";"27528";"11706";3500709
"Agudos";"2017";"318744";"264404";"9178";"4068";"28747";"12347";3500709
"Alambari";"2013";"8383";"579";"862";"2492";"3388";"1063";3500758
"Alambari";"2014";"8552";"594";"909";"2342";"3682";"1025";3500758
"Alambari";"2015";"8414";"651";"897";"2220";"3648";"997";3500758
"Alambari";"2016";"8914";"739";"900";"2419";"3784";"1072";3500758
"Alambari";"2017";"8859";"771";"1043";"1965";"3940";"1140";3500758
"Alfredo Marcondes";"2013";"6449";"577";"593";"1773";"2599";"907";3500808
"Alfredo Marcondes";"2014";"7124";"755";"699";"1850";"2837";"982";3500808
"Alfredo Marcondes";"2015";"7089";"826";"643";"1732";"2878";"1009";3500808
"Alfredo Marcondes";"2016";"6979";"863";"647";"1626";"2874";"970";3500808
"Alfredo Marcondes";"2017";"7585";"1059";"717";"1695";"3106";"1008";3500808
"Altair";"2013";"7466";"17";"498";"4381";"1941";"629";3500907
"Altair";"2014";"11430";"18";"567";"8076";"2085";"684";3500907
"Altair";"2015";"9483";"12";"524";"6216";"2072";"658";3500907
"Altair";"2016";"12598";"5";"425";"9493";"2026";"649";3500907
"Altair";"2017";"12511";"5";"471";"9262";"2103";"670";3500907
"Altinópolis";"2013";"28866";"265";"4670";"6871";"11652";"5408";3501004
"Altinópolis";"2014";"31627";"322";"4837";"7802";"12079";"6587";3501004
"Altinópolis";"2015";"30608";"316";"5146";"6601";"11744";"6800";3501004
"Altinópolis";"2016";"31736";"282";"5239";"7644";"11860";"6710";3501004
"Altinópolis";"2017";"32589";"300";"5114";"7617";"12425";"7134";3501004
"Alto Alegre";"2013";"32037";"1695";"597";"26010";"2611";"1123";3501103
"Alto Alegre";"2014";"34094";"1711";"584";"27888";"2770";"1141";3501103
"Alto Alegre";"2015";"30034";"1314";"566";"24242";"2810";"1102";3501103
"Alto Alegre";"2016";"22317";"1043";"584";"16755";"2836";"1099";3501103
"Alto Alegre";"2017";"56453";"441";"842";"51196";"2857";"1118";3501103
"Alumínio";"2013";"5233381";"5210865";"7141";"46";"11546";"3782";3501152
"Alumínio";"2014";"3682953";"3659459";"7325";"55";"12392";"3723";3501152
"Alumínio";"2015";"3669361";"3646675";"7313";"28";"11781";"3563";3501152
"Alumínio";"2016";"3970313";"3948591";"6608";"17";"11312";"3785";3501152
"Alumínio";"2017";"4138452";"4116574";"6584";"14";"11410";"3870";3501152
"Álvares Florence";"2013";"8494";"1110";"858";"3793";"2086";"646";3501202
"Álvares Florence";"2014";"8787";"846";"963";"4142";"2167";"668";3501202
"Álvares Florence";"2015";"8511";"801";"862";"4033";"2175";"640";3501202
"Álvares Florence";"2016";"8613";"591";"847";"4384";"2150";"641";3501202
"Álvares Florence";"2017";"8945";"441";"47";"4597";"2260";"1601";3501202
"Álvares Machado";"2013";"34703";"4330";"5731";"3572";"16269";"4801";3501301
"Álvares Machado";"2014";"37050";"4694";"6189";"3749";"17572";"4846";3501301
"Álvares Machado";"2015";"36993";"4475";"6436";"3554";"17677";"4851";3501301
"Álvares Machado";"2016";"37346";"3781";"6551";"3580";"18757";"4677";3501301
"Álvares Machado";"2017";"39733";"3742";"7264";"3705";"20075";"4948";3501301
"Álvaro de Carvalho";"2013";"5920";"488";"372";"1167";"1893";"2001";3501400
"Álvaro de Carvalho";"2014";"6166";"497";"402";"1216";"1998";"2053";3501400
"Álvaro de Carvalho";"2015";"5699";"505";"398";"1021";"1877";"1898";3501400
"Álvaro de Carvalho";"2016";"5717";"489";"372";"956";"1937";"1962";3501400
"Álvaro de Carvalho";"2017";"5515";"370";"351";"982";"1919";"1893";3501400
"Alvinlândia";"2013";"4052";"32";"378";"1064";"1664";"915";3501509
"Alvinlândia";"2014";"4291";"49";"396";"1151";"1732";"963";3501509
"Alvinlândia";"2015";"4144";"58";"389";"1063";"1699";"936";3501509
"Alvinlândia";"2016";"4246";"57";"366";"1188";"1688";"947";3501509
"Alvinlândia";"2017";"4235";"53";"341";"1162";"1723";"955";3501509
"Americana";"2013";"1380582";"951300";"141887";"341";"221349";"65704";3501608
"Americana";"2014";"1341454";"886912";"152430";"349";"236495";"65267";3501608
"Americana";"2015";"1244227";"800540";"147169";"311";"232664";"63542";3501608
"Americana";"2016";"1160640";"726131";"140277";"275";"232145";"61811";3501608
"Americana";"2017";"1150273";"709435";"140915";"277";"237092";"62554";3501608
"Américo Brasiliense";"2013";"58299";"13533";"6187";"624";"24216";"13740";3501707
"Américo Brasiliense";"2014";"58555";"6566";"13100";"587";"25411";"12891";3501707
"Américo Brasiliense";"2015";"58025";"6698";"15109";"534";"24214";"11469";3501707
"Américo Brasiliense";"2016";"57356";"6821";"15020";"506";"23797";"11212";3501707
"Américo Brasiliense";"2017";"57272";"6689";"14228";"494";"24357";"11505";3501707
"Américo de Campos";"2013";"8548";"157";"1133";"1606";"4016";"1634";3501806
"Américo de Campos";"2014";"9132";"156";"1219";"1699";"4331";"1728";3501806
"Américo de Campos";"2015";"8963";"118";"1219";"1685";"4288";"1653";3501806
"Américo de Campos";"2016";"9001";"107";"1175";"1813";"4235";"1671";3501806
"Américo de Campos";"2017";"9556";"96";"1210";"1981";"4465";"1804";3501806
"Amparo";"2013";"381632";"263266";"24778";"20338";"57088";"16162";3501905
"Amparo";"2014";"378431";"255972";"26338";"20919";"58418";"16785";3501905
"Amparo";"2015";"366485";"246568";"25129";"20748";"57777";"16264";3501905
"Amparo";"2016";"371438";"252673";"24036";"20736";"57326";"16666";3501905
"Amparo";"2017";"385845";"264214";"23482";"22632";"58605";"16913";3501905
"Analândia";"2013";"9672";"2066";"828";"1713";"3517";"1548";3502002
"Analândia";"2014";"10266";"2201";"907";"1820";"3691";"1646";3502002
"Analândia";"2015";"9909";"2078";"895";"1716";"3648";"1572";3502002
"Analândia";"2016";"9650";"1950";"850";"1607";"3635";"1609";3502002
"Analândia";"2017";"10020";"2037";"856";"1669";"3840";"1618";3502002
"Andradina";"2013";"182793";"84793";"29853";"6740";"47511";"13895";3502101
"Andradina";"2014";"198900";"94700";"30212";"7934";"51263";"14791";3502101
"Andradina";"2015";"197386";"96479";"30541";"6837";"49302";"14226";3502101
"Andradina";"2016";"191126";"93789";"27636";"6697";"48690";"14313";3502101
"Andradina";"2017";"190236";"85808";"30435";"6903";"51845";"15245";3502101
"Angatuba";"2013";"118305";"73102";"14733";"14839";"11804";"3828";3502200
"Angatuba";"2014";"144238";"102498";"8322";"16892";"12518";"4009";3502200
"Angatuba";"2015";"142749";"75204";"34346";"17002";"12083";"4114";3502200
"Angatuba";"2016";"150948";"82778";"33415";"18584";"12109";"4062";3502200
"Angatuba";"2017";"159343";"85172";"37740";"19374";"12957";"4099";3502200
"Anhembi";"2013";"10839";"1716";"1587";"2395";"3702";"1439";3502309
"Anhembi";"2014";"10902";"1620";"1199";"2473";"3978";"1632";3502309
"Anhembi";"2015";"9819";"1117";"916";"2380";"3822";"1584";3502309
"Anhembi";"2016";"10124";"1310";"1091";"2521";"3651";"1552";3502309
"Anhembi";"2017";"10784";"1411";"1104";"2741";"3945";"1583";3502309
"Anhumas";"2013";"4933";"79";"492";"1368";"2200";"794";3502408
"Anhumas";"2014";"5581";"79";"557";"1707";"2416";"821";3502408
"Anhumas";"2015";"4995";"103";"551";"1270";"2290";"780";3502408
"Anhumas";"2016";"5023";"115";"485";"1359";"2278";"786";3502408
"Anhumas";"2017";"5177";"72";"511";"1223";"2559";"813";3502408
"Aparecida";"2013";"90467";"24455";"34609";"596";"21381";"9425";3502507
"Aparecida";"2014";"85372";"24268";"35871";"527";"15827";"8879";3502507
"Aparecida";"2015";"87215";"23115";"38891";"457";"16527";"8226";3502507
"Aparecida";"2016";"104365";"23584";"43210";"567";"27898";"9106";3502507
"Aparecida";"2017";"92247";"4279";"46513";"655";"30833";"9967";3502507
"Aparecida d'Oeste";"2013";"7365";"1035";"882";"1627";"2790";"1032";3502606
"Aparecida d'Oeste";"2014";"8208";"1287";"926";"1944";"3058";"993";3502606
"Aparecida d'Oeste";"2015";"7852";"1267";"852";"1762";"2959";"1013";3502606
"Aparecida d'Oeste";"2016";"7527";"1202";"827";"1561";"2923";"1014";3502606
"Aparecida d'Oeste";"2017";"8346";"1597";"875";"1700";"3114";"1060";3502606
"Apiaí";"2013";"199480";"178970";"4180";"1518";"11351";"3462";3502705
"Apiaí";"2014";"205086";"183747";"4379";"1620";"11745";"3596";3502705
"Apiaí";"2015";"189554";"168776";"4323";"1576";"11437";"3442";3502705
"Apiaí";"2016";"162476";"141427";"4143";"1570";"11723";"3612";3502705
"Apiaí";"2017";"151131";"129149";"4347";"1450";"12269";"3917";3502705
"Aramina";"2013";"8599";"332";"1327";"800";"4176";"1963";3503000
"Aramina";"2014";"9360";"333";"1493";"885";"4589";"2060";3503000
"Aramina";"2015";"8992";"300";"1333";"835";"4502";"2022";3503000
"Aramina";"2016";"8729";"182";"1193";"816";"4491";"2046";3503000
"Aramina";"2017";"9493";"206";"1556";"828";"4736";"2167";3503000
"Arandu";"2013";"7300";"184";"714";"2335";"3292";"776";3503109
"Arandu";"2014";"10110";"193";"962";"2040";"3461";"3454";3503109
"Arandu";"2015";"8949";"150";"936";"2328";"3460";"2075";3503109
"Arandu";"2016";"8728";"169";"844";"2062";"3552";"2102";3503109
"Arandu";"2017";"9133";"88";"664";"2637";"3709";"2035";3503109
"Arapeí";"2013";"2383";"32";"277";"424";"1302";"347";3503158
"Arapeí";"2014";"2554";"19";"328";"500";"1355";"352";3503158
"Arapeí";"2015";"2435";"19";"280";"464";"1322";"350";3503158
"Arapeí";"2016";"2541";"21";"425";"416";"1331";"348";3503158
"Arapeí";"2017";"2631";"20";"359";"413";"1456";"383";3503158
"Araraquara";"2013";"691593";"237253";"142586";"6465";"207690";"97599";3503208
"Araraquara";"2014";"719842";"239245";"147336";"6625";"224123";"102512";3503208
"Araraquara";"2015";"694031";"217884";"145532";"5788";"222889";"101938";3503208
"Araraquara";"2016";"695015";"227336";"141324";"5479";"220525";"100351";3503208
"Araraquara";"2017";"701773";"232197";"139925";"6203";"225691";"97756";3503208
"Araras";"2013";"461047";"249414";"65785";"14326";"99056";"32467";3503307
"Araras";"2014";"484083";"255751";"75158";"15099";"101914";"36162";3503307
"Araras";"2015";"442644";"226014";"69450";"14711";"97034";"35435";3503307
"Araras";"2016";"458513";"243324";"67423";"14402";"99520";"33843";3503307
"Araras";"2017";"474215";"245954";"71899";"15008";"105125";"36228";3503307
"Araçariguama";"2013";"469719";"439613";"11699";"263";"14562";"3582";3502754
"Araçariguama";"2014";"419217";"386428";"12272";"269";"16370";"3878";3502754
"Araçariguama";"2015";"488728";"455304";"12364";"246";"16659";"4155";3502754
"Araçariguama";"2016";"408998";"373126";"15222";"203";"16154";"4293";3502754
"Araçariguama";"2017";"452305";"415339";"15667";"189";"16518";"4593";3502754
"Araçatuba";"2013";"479288";"99385";"118144";"8433";"201336";"51991";3502804
"Araçatuba";"2014";"517861";"101135";"129269";"9024";"222222";"56211";3502804
"Araçatuba";"2015";"518390";"101995";"130603";"8470";"221963";"55360";3502804
"Araçatuba";"2016";"504783";"101127";"123916";"8173";"217221";"54347";3502804
"Araçatuba";"2017";"518693";"103467";"126693";"8242";"226070";"54220";3502804
"Araçoiaba da Serra";"2013";"62870";"3079";"8479";"4587";"38545";"8179";3502903
"Araçoiaba da Serra";"2014";"66885";"3140";"9035";"5004";"41385";"8321";3502903
"Araçoiaba da Serra";"2015";"66727";"3193";"8974";"4915";"41185";"8460";3502903
"Araçoiaba da Serra";"2016";"66510";"3139";"8937";"4819";"40872";"8743";3502903
"Araçoiaba da Serra";"2017";"69933";"4797";"9349";"4906";"41893";"8988";3502903
"Arco-Íris";"2013";"2505";"729";"117";"474";"703";"482";3503356
"Arco-Íris";"2014";"3356";"1520";"122";"467";"753";"493";3503356
"Arco-Íris";"2015";"2842";"780";"119";"697";"767";"479";3503356
"Arco-Íris";"2016";"3028";"523";"124";"1119";"770";"492";3503356
"Arco-Íris";"2017";"3589";"580";"130";"1485";"824";"570";3503356
"Arealva";"2013";"19707";"3605";"1835";"5412";"6906";"1949";3503406
"Arealva";"2014";"21166";"3857";"1849";"6082";"7317";"2061";3503406
"Arealva";"2015";"19349";"2686";"1777";"5596";"7293";"1996";3503406
"Arealva";"2016";"17371";"657";"1782";"5624";"7277";"2031";3503406
"Arealva";"2017";"18207";"728";"1697";"6119";"7541";"2121";3503406
"Areias";"2013";"3443";"2";"371";"846";"1626";"598";3503505
"Areias";"2014";"3646";"1";"385";"899";"1755";"606";3503505
"Areias";"2015";"3698";"1";"396";"913";"1757";"630";3503505
"Areias";"2016";"3900";"1";"382";"905";"1982";"631";3503505
"Areias";"2017";"4190";"1";"415";"982";"2164";"628";3503505
"Areiópolis";"2013";"11326";"1084";"1474";"258";"6525";"1985";3503604
"Areiópolis";"2014";"11216";"597";"1492";"307";"6701";"2119";3503604
"Areiópolis";"2015";"10968";"531";"1496";"285";"6605";"2051";3503604
"Areiópolis";"2016";"10796";"467";"1490";"291";"6563";"1986";3503604
"Areiópolis";"2017";"10882";"458";"1568";"273";"6656";"1928";3503604
"Ariranha";"2013";"21774";"8999";"1573";"2259";"6757";"2186";3503703
"Ariranha";"2014";"23606";"10102";"1681";"2130";"7411";"2283";3503703
"Ariranha";"2015";"21390";"8581";"1576";"1897";"7166";"2169";3503703
"Ariranha";"2016";"19653";"7731";"1527";"1238";"7024";"2134";3503703
"Ariranha";"2017";"19649";"7559";"1536";"1068";"7284";"2202";3503703
"Artur Nogueira";"2013";"91862";"27412";"15415";"7292";"31564";"10179";3503802
"Artur Nogueira";"2014";"97058";"29347";"17510";"6864";"33135";"10202";3503802
"Artur Nogueira";"2015";"93044";"28028";"16958";"5871";"32065";"10123";3503802
"Artur Nogueira";"2016";"105203";"37537";"16077";"7823";"32832";"10933";3503802
"Artur Nogueira";"2017";"106374";"34038";"16761";"8239";"35104";"12232";3503802
"Arujá";"2013";"255392";"134588";"36154";"2897";"70430";"11323";3503901
"Arujá";"2014";"258086";"131983";"40077";"2964";"71687";"11376";3503901
"Arujá";"2015";"245503";"118829";"43764";"2626";"68958";"11326";3503901
"Arujá";"2016";"233491";"109820";"39325";"2603";"69980";"11764";3503901
"Arujá";"2017";"241874";"113912";"38907";"2549";"73759";"12747";3503901
"Aspásia";"2013";"2679";"14";"267";"1074";"922";"404";3503950
"Aspásia";"2014";"3041";"14";"285";"1305";"996";"441";3503950
"Aspásia";"2015";"2790";"13";"282";"1059";"1000";"435";3503950
"Aspásia";"2016";"2954";"13";"264";"1225";"1021";"432";3503950
"Aspásia";"2017";"3201";"11";"282";"1315";"1127";"466";3503950
"Assis";"2013";"178166";"15333";"51178";"5976";"76712";"28966";3504008
"Assis";"2014";"189131";"16885";"56195";"6301";"79845";"29906";3504008
"Assis";"2015";"182880";"12801";"54544";"5962";"79551";"30022";3504008
"Assis";"2016";"179914";"10238";"52909";"5700";"81787";"29281";3504008
"Assis";"2017";"183955";"10597";"54395";"5841";"83141";"29980";3504008
"Atibaia";"2013";"416306";"141063";"86761";"30219";"131448";"26815";3504107
"Atibaia";"2014";"438823";"148016";"93976";"31672";"137121";"28038";3504107
"Atibaia";"2015";"418858";"135633";"93954";"28638";"132632";"28002";3504107
"Atibaia";"2016";"425506";"142501";"93095";"27628";"133689";"28594";3504107
"Atibaia";"2017";"469185";"165765";"102205";"27801";"142616";"30797";3504107
"Auriflama";"2013";"23905";"2682";"4813";"2541";"10681";"3189";3504206
"Auriflama";"2014";"25126";"2649";"5041";"2693";"11437";"3307";3504206
"Auriflama";"2015";"24332";"2477";"4819";"2566";"11291";"3180";3504206
"Auriflama";"2016";"23054";"1826";"4772";"2462";"10878";"3116";3504206
"Auriflama";"2017";"23761";"1483";"4923";"2668";"11485";"3202";3504206
"Avaí";"2013";"7341";"10";"975";"2431";"2882";"1044";3504305
"Avaí";"2014";"7662";"198";"1027";"2277";"3119";"1042";3504305
"Avaí";"2015";"7297";"202";"942";"2111";"3023";"1020";3504305
"Avaí";"2016";"7003";"138";"850";"2068";"3031";"916";3504305
"Avaí";"2017";"6980";"3";"853";"2195";"3037";"892";3504305
"Avanhandava";"2013";"13895";"1747";"1617";"890";"7059";"2582";3504404
"Avanhandava";"2014";"14798";"1800";"1700";"1016";"7618";"2664";3504404
"Avanhandava";"2015";"14282";"1768";"1632";"877";"7616";"2389";3504404
"Avanhandava";"2016";"13686";"1454";"1551";"765";"7397";"2519";3504404
"Avanhandava";"2017";"13717";"1163";"1579";"795";"7653";"2527";3504404
"Avaré";"2013";"185286";"31483";"33856";"24808";"62705";"32434";3504503
"Avaré";"2014";"191234";"30708";"34976";"27118";"65823";"32609";3504503
"Avaré";"2015";"171677";"30784";"34317";"9563";"64849";"32164";3504503
"Avaré";"2016";"180963";"23738";"33258";"25510";"66009";"32448";3504503
"Avaré";"2017";"181018";"19585";"34253";"26347";"67469";"33365";3504503
"Bady Bassitt";"2013";"32279";"3670";"6370";"3196";"14584";"4458";3504602
"Bady Bassitt";"2014";"34418";"2796";"6829";"3934";"16339";"4520";3504602
"Bady Bassitt";"2015";"34205";"2554";"5377";"4873";"16730";"4672";3504602
"Bady Bassitt";"2016";"32483";"2621";"4746";"3371";"16678";"5067";3504602
"Bady Bassitt";"2017";"32741";"2191";"4576";"3148";"17600";"5226";3504602
"Balbinos";"2013";"4256";"709";"207";"265";"906";"2169";3504701
"Balbinos";"2014";"4427";"801";"212";"278";"970";"2165";3504701
"Balbinos";"2015";"4113";"655";"196";"270";"1022";"1970";3504701
"Balbinos";"2016";"4365";"880";"179";"243";"1044";"2019";3504701
"Balbinos";"2017";"4241";"730";"172";"240";"1076";"2023";3504701
"Bálsamo";"2013";"21397";"7929";"2265";"1695";"7139";"2369";3504800
"Bálsamo";"2014";"20960";"6624";"2292";"1848";"7758";"2438";3504800
"Bálsamo";"2015";"20991";"7351";"1795";"1657";"7792";"2395";3504800
"Bálsamo";"2016";"20551";"6905";"1706";"1689";"7825";"2426";3504800
"Bálsamo";"2017";"20941";"6432";"2080";"1767";"8079";"2583";3504800
"Bananal";"2013";"18140";"6011";"2314";"1794";"6057";"1963";3504909
"Bananal";"2014";"21470";"8759";"2434";"1871";"6425";"1980";3504909
"Bananal";"2015";"22580";"10061";"2336";"1965";"6348";"1870";3504909
"Bananal";"2016";"20138";"7872";"2195";"1789";"6392";"1890";3504909
"Bananal";"2017";"18720";"5967";"2174";"1875";"6803";"1902";3504909
"Barão de Antonina";"2013";"3297";"41";"385";"585";"1644";"642";3505005
"Barão de Antonina";"2014";"3546";"32";"443";"607";"1764";"700";3505005
"Barão de Antonina";"2015";"3506";"36";"445";"584";"1801";"641";3505005
"Barão de Antonina";"2016";"3413";"23";"415";"578";"1769";"629";3505005
"Barão de Antonina";"2017";"3671";"29";"413";"666";"1958";"605";3505005
"Barbosa";"2013";"10633";"2525";"1481";"1002";"4374";"1251";3505104
"Barbosa";"2014";"11197";"2550";"1620";"1089";"4683";"1255";3505104
"Barbosa";"2015";"10290";"1929";"1515";"986";"4630";"1230";3505104
"Barbosa";"2016";"9685";"1549";"1397";"918";"4585";"1236";3505104
"Barbosa";"2017";"10260";"1778";"1420";"918";"4818";"1326";3505104
"Bariri";"2013";"79190";"23364";"11153";"9797";"26759";"8117";3505203
"Bariri";"2014";"88758";"24517";"12464";"14516";"29021";"8239";3505203
"Bariri";"2015";"80681";"22667";"12358";"8965";"28440";"8251";3505203
"Bariri";"2016";"78399";"19005";"11873";"10665";"28239";"8618";3505203
"Bariri";"2017";"80768";"19350";"11423";"12445";"28836";"8713";3505203
"Barra Bonita";"2013";"84048";"18764";"17787";"1507";"30649";"15342";3505302
"Barra Bonita";"2014";"90012";"21622";"17716";"923";"32097";"17654";3505302
"Barra Bonita";"2015";"84916";"19618";"16819";"778";"31471";"16230";3505302
"Barra Bonita";"2016";"79621";"16703";"15314";"640";"30988";"15976";3505302
"Barra Bonita";"2017";"85077";"20969";"15028";"599";"31815";"16667";3505302
"Barra do Chapéu";"2013";"3136";"57";"373";"520";"1710";"477";3505351
"Barra do Chapéu";"2014";"3314";"37";"406";"563";"1801";"507";3505351
"Barra do Chapéu";"2015";"3256";"22";"429";"560";"1805";"440";3505351
"Barra do Chapéu";"2016";"3318";"30";"411";"565";"1872";"440";3505351
"Barra do Chapéu";"2017";"3272";"30";"395";"499";"1877";"471";3505351
"Barra do Turvo";"2013";"5643";"82";"1018";"550";"3131";"861";3505401
"Barra do Turvo";"2014";"5944";"88";"1132";"600";"3287";"836";3505401
"Barra do Turvo";"2015";"5844";"58";"1180";"631";"3182";"794";3505401
"Barra do Turvo";"2016";"5768";"50";"1170";"611";"3157";"780";3505401
"Barra do Turvo";"2017";"6158";"55";"1214";"690";"3481";"718";3505401
"Barretos";"2013";"321885";"87020";"74195";"20239";"105857";"34575";3505500
"Barretos";"2014";"338691";"80828";"80499";"26550";"114533";"36280";3505500
"Barretos";"2015";"333683";"82723";"79599";"21821";"113679";"35861";3505500
"Barretos";"2016";"331308";"79442";"77750";"25582";"111338";"37196";3505500
