"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Adamantina";"2011";"683689,22";"20220,91";"0,047588";3500105
"Adamantina";"2012";"743683,94";"21984,27";"0,047702";3500105
"Adamantina";"2013";"815579,34";"24097,48";"0,047549";3500105
"Adamantina";"2014";"883055,34";"26078,06";"0,047522";3500105
"Adamantina";"2015";"907878,49";"26797,68";"0,046801";3500105
"Adolfo";"2011";"68413,95";"19287,84";"0,004762";3500204
"Adolfo";"2012";"53200,27";"15049,58";"0,003412";3500204
"Adolfo";"2013";"73529,29";"20871,22";"0,004287";3500204
"Adolfo";"2014";"79414,14";"22612,23";"0,004274";3500204
"Adolfo";"2015";"73562,56";"21011,87";"0,003792";3500204
"Aguaí";"2011";"573701,85";"17671,94";"0,039933";3500303
"Aguaí";"2012";"568189,97";"17312,31";"0,036445";3500303
"Aguaí";"2013";"660869,78";"19918,32";"0,038529";3500303
"Aguaí";"2014";"747278,2";"22278,88";"0,040215";3500303
"Aguaí";"2015";"747429,07";"22042,2";"0,038529";3500303
"Águas da Prata";"2011";"89260,07";"11738,57";"0,006213";3500402
"Águas da Prata";"2012";"101169,93";"13262,97";"0,006489";3500402
"Águas da Prata";"2013";"111412,62";"14559,93";"0,006495";3500402
"Águas da Prata";"2014";"121399,24";"15815,43";"0,006533";3500402
"Águas da Prata";"2015";"137150,24";"17811,72";"0,00707";3500402
"Águas de Lindóia";"2011";"267588,6";"15401,67";"0,018626";3500501
"Águas de Lindóia";"2012";"279456,21";"15975,32";"0,017925";3500501
"Águas de Lindóia";"2013";"351798,92";"19977,22";"0,02051";3500501
"Águas de Lindóia";"2014";"365468,8";"20611,85";"0,019668";3500501
"Águas de Lindóia";"2015";"438818,64";"24582,3";"0,022621";3500501
"Águas de Santa Bárbara";"2011";"139132,35";"24703,9";"0,009684";3500550
"Águas de Santa Bárbara";"2012";"95592,62";"16874,25";"0,006132";3500550
"Águas de Santa Bárbara";"2013";"114127,1";"20022,3";"0,006654";3500550
"Águas de Santa Bárbara";"2014";"126621,33";"22082,55";"0,006814";3500550
"Águas de Santa Bárbara";"2015";"121002,14";"20974,54";"0,006238";3500550
"Águas de São Pedro";"2011";"71429,27";"26040,57";"0,004972";3500600
"Águas de São Pedro";"2012";"81883,23";"29369,88";"0,005252";3500600
"Águas de São Pedro";"2013";"96809,19";"34159,91";"0,005644";3500600
"Águas de São Pedro";"2014";"113803,72";"39515,18";"0,006124";3500600
"Águas de São Pedro";"2015";"123274,21";"42101,85";"0,006355";3500600
"Agudos";"2011";"1742627,42";"50251,67";"0,121296";3500709
"Agudos";"2012";"1928539,29";"55336,7";"0,123701";3500709
"Agudos";"2013";"1900411,59";"54260,27";"0,110796";3500709
"Agudos";"2014";"2096342,18";"59556,87";"0,112816";3500709
"Agudos";"2015";"2052881,94";"58033,64";"0,105825";3500709
"Alambari";"2011";"61384,83";"12370,98";"0,004273";3500758
"Alambari";"2012";"60504,84";"11971,67";"0,003881";3500758
"Alambari";"2013";"70362,96";"13668,02";"0,004102";3500758
"Alambari";"2014";"70466,72";"13437,59";"0,003792";3500758
"Alambari";"2015";"84529,18";"15826,47";"0,004357";3500758
"Alfredo Marcondes";"2011";"38980,28";"10007,77";"0,002713";3500808
"Alfredo Marcondes";"2012";"53292,71";"13664,8";"0,003418";3500808
