"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Adamantina";"2011";"626642,63";"103105,56";"124683,96";"470030,66";"31928,01";"57046,59";"16,45";"19,9";"75,01";"5,1";3500105
"Adamantina";"2012";"680841,59";"106390,65";"114027,86";"528323,83";"38489,91";"62842,35";"15,63";"16,75";"77,6";"5,65";3500105
"Adamantina";"2013";"750130,73";"122954,09";"109703,21";"597703,08";"42724,45";"65448,61";"16,39";"14,62";"79,68";"5,7";3500105
"Adamantina";"2014";"814490,45";"134671,32";"110920,78";"666845,43";"36724,23";"68564,89";"16,53";"13,62";"81,87";"4,51";3500105
"Adamantina";"2015";"838819,08";"144688,7";"120027,64";"683243,18";"35548,26";"69059,42";"17,25";"14,31";"81,45";"4,24";3500105
"Adolfo";"2011";"66731,05";"13292,79";"5499,58";"30008,32";"31223,15";"1682,9";"19,92";"8,24";"44,97";"46,79";3500204
"Adolfo";"2012";"51574,94";"14408,47";"4353,18";"31040,55";"16181,21";"1625,33";"27,94";"8,44";"60,19";"31,37";3500204
"Adolfo";"2013";"71968,31";"16811,34";"5430,26";"37197,94";"29340,11";"1560,99";"23,36";"7,55";"51,69";"40,77";3500204
"Adolfo";"2014";"77638,15";"19540,69";"5962,2";"42769,88";"28906,07";"1775,99";"25,17";"7,68";"55,09";"37,23";3500204
"Adolfo";"2015";"71000,6";"20124,95";"5700,83";"43951,35";"21348,42";"2561,96";"28,34";"8,03";"61,9";"30,07";3500204
